鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區府中路１２６號二樓之３,9.66,商,,,1100915,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0840617,86.46000000000001,0,0,1,有,有,12500000,144576,,0.0,0,開放空間,RPUNMLMLRHGGFAF28DA,58.27,0.66,0.0,有,
板橋區,房地(土地+建物),新北市板橋區府中路１２６號二樓之１１,9.66,商,,,1100921,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0840617,86.62,0,0,1,有,有,12500000,144308,,0.0,0,開放空間,RPUNMLSJIIGGFAF87DA,58.39,0.67,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街２３號五樓,29.1,商,,,1101008,土地1建物1車位1,五層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,228.36,3,2,2,有,有,27310000,133047,坡道平面,39.63,2200000,,RPXSNLMKIIGGFAF28DA,102.47,21.26,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區中華路一段２１９號九樓之１,21.83,商,,,1101021,土地1建物1車位1,九層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,179.9,1,0,0,有,有,18180000,113923,坡道平面,39.63,2200000,工程折讓12萬元,RPXTMLPLIIGGFAF68DA,76.74,15.21,0.0,有,
土城區,房地(土地+建物),新北市土城區中央路一段２６８號十樓之１,15.27,商,,,1101025,土地1建物1車位0,十層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,101.32999999999998,1,0,0,有,有,12970000,127998,,0.0,0,,RPROMLRLIIGGFAF77DA,54.92,11.43,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區中央路一段２６８號十樓,24.85,商,,,1101103,土地1建物1車位1,十層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,199.91,1,0,0,有,有,21350000,118231,坡道平面,39.63,2400000,工程折讓13萬元,RPOOMLPJJIGGFAF17DA,90.78,14.3,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街２１號二十一樓,28.67,商,,,1101106,土地1建物1車位1,二十一層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,225.91,3,2,2,有,有,29160000,143655,坡道平面,39.63,2400000,,RPTQMLSJJIGGFAF18DA,102.47,19.64,0.0,有,
土城區,房地(土地+建物),新北市土城區日和街１９號二十七樓,18.59,商,,,1101107,土地1建物1車位0,二十七層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,123.75999999999999,1,0,0,有,有,16180000,130737,,0.0,0,工程折讓11萬元,RPPUMLTJJIGGFAF28DA,67.86,13.21,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區永豐街４９巷２２號十三樓,21.79,住,,,1101030,土地1建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060811,185.46,3,2,2,有,無,29950000,168671,坡道平面,23.31,2600000,,RPWNMLNJJIGGFAF67DA,86.63,21.88,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街１５號十六樓,32.56,工,,,1101018,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,171.10000000000002,0,0,0,無,有,18600000,124228,坡道平面,36.67,1900000,,RPVPMLKKJIGGFAF57DA,78.41,12.38,0.0,有,
土城區,房地(土地+建物),新北市土城區中央路一段２６８號四樓之１,13.97,商,,,1101109,土地1建物1車位0,四層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,92.75999999999999,1,0,0,有,有,11620000,125270,,0.0,0,,RPTOMLMKJIGGFAF47DA,54.92,5.91,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街３０號八樓,35.85,工,,,1101015,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,184.01,0,0,0,無,有,18500000,114720,坡道平面,39.31,1900000,,RPSRMLKKJIGGFAF47DA,81.28,15.06,0.0,有,
板橋區,房地(土地+建物),新北市板橋區四川路二段２３７號八樓之五,5.74,住,,,1101004,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0810808,53.98,1,1,1,有,有,7300000,135235,,0.0,0,陽台外推；其他增建；,RPOSMLKKJIGGFAF17DA,41.3,9.13,0.0,有,
土城區,房地(土地+建物),新北市土城區日和街１７號五樓,15.2,商,,,1101114,土地1建物1車位0,五層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,101.32999999999998,1,0,0,有,有,12720000,125530,,0.0,0,,RPTNOLPKJIGGFAF87DA,54.92,11.43,0.0,有,
土城區,房地(土地+建物),新北市土城區中央路四段２８５號二樓,10.96,住,,,1101106,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880206,79.24,2,2,1,有,有,7800000,98435,,0.0,0,其他增建；,RPTQMLMLJIGGFAF77DA,54.71,9.75,0.0,有,
土城區,房地(土地+建物),新北市土城區學府路一段９９巷２３號四樓,23.09,住,,,1101031,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740926,88.91000000000001,3,2,1,有,無,8950000,100664,,0.0,0,陽台外推；其他增建；,RPVQMLTLJIGGFAF68DA,75.22,5.07,0.0,無,0001
土城區,土地,柑林段689地號,1.05,,,,1101113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57000,54286,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXRMLTLJIGGFAF98DA,0.0,0.0,0.0,無,0002
板橋區,土地,新都段106地號,66.82,住,,,1081025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33640000,503442,,0.0,0,依臺灣高等法院民事第十 三庭調解筆錄辦理買賣移轉,RPURMLLJKIGGFAF77DA,0.0,0.0,0.0,無,0003
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５６２號七樓,13.21,商,,,1101019,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,121.56,2,1,1,有,有,17120000,140836,坡道平面,29.87,0,,RPUOMLMJKIGGFAF57DA,52.05,7.17,0.0,有,
土城區,房地(土地+建物),新北市土城區學府路一段１６４巷３３號二樓,33.27,住,,,1101006,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760714,117.22,3,2,2,有,無,11500000,98106,,0.0,0,陽台外推；,RPRPMLMJKIGGFAF37DA,94.43,13.85,0.0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段２３５之１號三樓,10.8,住,,,1101109,土地2建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081101,117.08000000000001,1,1,1,有,有,16250000,188396,坡道平面,57.1,4950000,,RPXPMLMJKIGGFAF97DA,30.86,7.13,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區金門街３６９巷２０號三樓之２,35.24,住,,,1101122,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021015,164.51999999999998,3,2,2,有,有,10000000,60783,坡道平面,30.47,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLNJKIGGFAF77DA,85.83,8.14,0.0,有,0004
土城區,房地(土地+建物),新北市土城區中華路一段２４９號六樓,9.07,住,,,1101028,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,87.0,2,2,1,有,有,9400000,108046,,0.0,0,,RPUQMLNJKIGGFAF87DA,73.66,6.7,0.0,有,0005
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段２３５之１號二樓,8.68,住,,,1101124,土地2建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081101,88.53,1,1,1,有,有,13580000,188063,坡道平面,28.55,2300000,,RPTSMLQJKIGGFAF28DA,30.86,7.13,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區中央路四段２５１號十二樓,27.57,住,,,1101104,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040908,168.34,3,2,2,有,有,17880000,128330,坡道平面,40.7,1500000,,RPVSMLQJKIGGFAF48DA,81.68,6.77,0.0,有,0006
土城區,房地(土地+建物)+車位,新北市土城區學士路２５６號十八樓,29.39,住,,,1070311,土地1建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,225.18,4,2,2,有,無,21820000,116273,坡道平面,66.76,3400000,,RPSNMLRJKIGGFAF77DA,97.34,11.42,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路２５６號十一樓,28.95,住,,,1070310,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,191.8,4,2,2,有,無,20480000,119808,坡道平面,33.38,1500000,預售屋轉讓，轉讓價格新台幣2048萬元正,RPVNMLRJKIGGFAF08DA,97.34,11.42,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路２５６號十六樓,28.95,住,,,1070311,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,191.8,4,2,2,有,無,21030000,122017,坡道平面,33.38,1700000,預售屋轉讓，轉讓價格新台幣2103萬元正,RPOOMLRJKIGGFAF47DA,97.34,11.42,0.0,有,
